tune_no,tune_name,tune_meter,alt_meter,tune_book,tune_author,file_name,note
250,Denton,10.10.10.10.,,LFTBs,T. Willey (1903),250r.mid,
251,Eilden,10.10.10.10.,,LFTBs,Arthur Skrede,251r.mid,Harmonized by Klaus Otsby
252,Foyle,10.10.10.10.,,LFTBs,John Mason (1936),252r.mid,
259,Love's Appeal,10.10.10.10. Dactylic,,LFTBs,Gordon Millar (1952),259r.mid,
260,Slane,10.10.10.10. Dactylic,,LFTBs,Irish Folk Melody,260r.mid,Harmonized by L.L. Dix
283,Mithcah,12.11.12.11.,6.6.6.5.6.6.6.5.,LFTBs,Miss A.H. Lee,283r.mid,
284,Parclete,12.11.12.11.,6.6.6.5.6.6.6.5.,LFTBs,E. Carren,284r.mid,
285,Adoration,12.13.12.10.,,LFTBs,J.H. Righton,285r.mid,
286,Eli,12.13.12.10.,,LFTBs,Miss E.C. Shanks,286r.mid,
292,Asher,14.14.4.7.8.,,LFTBs,Miss E.C. Shanks,292r.mid,
293,Grenville,14.14.4.7.8.,,LFTBs,Gordon Millar (1961),293r.mid,
294,Broadwaters,14.14.14.14.,,LFTBs,F.H. Parkes,294r.mid,
295,Dalmeny,14.14.14.14.,,LFTBs,R.A. Evershed (1953),295r.mid,
356,Maryfield,8.7.8.7.4.4.7. Iambic,,LFTBs,T. Collins,356.mid,
413,Allendale,8.8.7.7.,,LFTBs,Miss B. Joseph,413.mid,
414,Evening Blessing,8.7.8.7.,,LFTBs,G.C. Stebbins (1846-1945),414.mid,
139,Woodbank,8.6.8.6.8.6.,,LFTBs,Gordon Millar,139r.mid,
140,Albercroft,8.6.8.6.8.8.,,LFTBs,A.L. Bloomfield,140r.mid,
141,Barnet,8.6.8.6.8.8.,,LFTBs,E.J. Judd,141r.mid,
142,Celebration,8.6.8.6.8.8.,,LFTBs,R.A. Evershead,142r.mid,
149,O Solemn Hour!,8.6.8.8.6.8.8.,,LFTBs,E. Carren,149r.mid,
150,The Saviour's Praise,8.7.8.5.,,LFTBs,J.R.,150r.mid,
151,Blackwood,8.7.8.7.,,LFTBs,Miss. E.C. Shanks,151r.mid,
160,Saffron Walden,8.7.8.7.,,LFTBs,Dr. Herbert Mahon,160r.mid,Copyright.  By permission of Mrs. Jacinth Morton
161,St. Catherine,8.7.8.7.,,LFTBs,S. Flood Jones,161r.mid,
163,Meredith,8.7.8.7. Dactylic,,LFTBs,Mrs. C.T. McCorkell,163r.mid,
164,Springing Well,8.7.8.7. Dactylic,,LFTBs,Gordon Millar,164r.mid,
165,Saviour of Sinners,"8.7.8.7. Dactylic, Chorus 5.7.8.7.",,LFTBs,Gordon Millar,165r.mid,
166,Taanach,"8.7.8.7. Dactylic, Chorus 5.7.8.7.",,LFTBs,Miss E.C. Shanks,166r.mid,
167,Covenant,8.7.8.7. Iambic,,LFTBs,Gordon Millar,167r.mid,
168,Edinor,8.7.8.7. Iambic,,LFTBs,John F. Harvey,168r.mid,
175,Modena,8.7.8.7.4.7.,,LFTBs,J.V. Roberts,175r.mid,Repeat 5th line of each verse
176,Monifieth,8.7.8.7.4.7.,,LFTBs,Gordon Millar,176r.mid,Repeat 5th line of each verse
177,Firstborn,8.7.8.7.7.7.,,LFTBs,Daniel F. Dupont,177r.mid,
180,Anastasis,8.7.8.7.7.7.,8.7.8.7.4.4.7.,LFTBs,E. Carren,180r.mid,
181,Adrian,8.7.8.7.8.7.8.7.,,LFTBs,Sir Robert P. Stewart,181r.mid,
184,Footprints,8.7.8.7.8.7.8.7.,,LFTBs,Miss. A.E. Housman,184r.mid,
185,Gwilym,8.7.8.7.8.7.8.7.,,LFTBs,Dr. Caradog Roberts,185r.mid,Copyright.  By permission of the Union of Welsh Independents
190,Reapers,8.7.8.7.8.7.8.7.,,LFTBs,J.B.O. Clemm,190r.mid,
191,The Hebrew Bondman,8.7.8.7.8.7.8.7. Iambic,,LFTBs,P.P. Bliss,191r.mid,
192,Bude,8.7.8.7.8.7.8.7.7.7.,,LFTBs,K.D. Clarke,192r.mid,
193,Crummock,8.7.8.7.8.7.8.7.7.7.,,LFTBs,Dr. Alan Clarke,193r.mid,
196,Wonderous Story,8.7.8.7.8.7.8.7.7.7.,,LFTBs,Gordon Millar,196r.mid,
197,Ascending,8.8.6.8.8.6.,,LFTBs,Peter Blanche,197r.mid,
202,Misericordia,8.8.8.6.,,LFTBs,Henry Smart,202r.mid,
203,Saffron Walden,8.8.8.6.,,LFTBs,A.H. Brown,203r.mid,
204,Brunton Street,8.8.8.8.4.4.6.,,LFTBs,Gordon Millar,204r.mid,
205,Joyful Sound,8.8.8.8.4.4.6.,,LFTBs,Royston Lewis,205r.mid,
206,Arnon,8.8.8.8.6.,,LFTBs,D.R.C. McCorkell,206r.mid,
210,Springing Fountain,8.8.8.8.6.,,LFTBs,A.W. Michael Rooke,210r.mid,
211,Basileos,8.8.8.8.8.8.,,LFTBs,E. Carren,211r.mid,
214,Our Leader,8.8.8.8.8.8.,,LFTBs,Jacob Hoff,214r.mid,
215,Ruth,8.8.8.8.8.8.,,LFTBs,C. Leflaive,215r.mid
216,Valete,8.8.8.8.8.8.,,LFTBs,Sir Arthur S. Sullivan,216r.mid
217,Comfort,8.8.11.8.,,LFTBs,John. F. Harvey,217r.mid
218,Edinburgh,8.8.11.8.,,LFTBs,E.J. Judd,218r.mid
219,Alpha,9.8.9.8.,,LFTBs,E. Carren,219r.mid
230,Response,9.8.9.8.,,LFTBs,C. Jarres,230r.mid
231,Shamgar,9.8.9.8.,,LFTBs,Miss. E.C. Shanks,231r.mid
232,Spanish Air,9.8.9.8.,,LFTBs,Unknown,232r.mid
235,Mansewood,9.8.9.8.9.8.9.8.,,LFTBs,Gordon Millar,235r.mid
236,Park Langley,9.8.9.8.9.8.9.8.,,LFTBs,Rev. E.H. Gladstone Sargent ,236r.mid
239,Dunure,9.9.6.6.6.4.,,LFTBs,Gordon Millar,239r.mid
240,Scotstoun,9.9.6.6.6.4.,,LFTBs,John. F. Harvey,240r.mid
241,Thomas,9.9.6.6.6.4.,,LFTBs,E. Carren,241r.mid
242,Sydney,9.9.9.9.,,LFTBs,E.J. Judd,242r.mid
243,Barton,10.4.10.4.10.10.,,LFTBs,J.T. Lightwood,243r.mid
244,Dartry,10.4.10.4.10.10.,,LFTBs,John Mason,244r.mid
245,Radlett,10.4.10.4.10.10.,,LFTBs,T.L. Edwards,245r.mid
246,Love's Return,10.10.4.10.10.4.,,LFTBs,P.S. Pope,246r.mid
262,Anticipation,11.10.11.10.,,LFTBs,Gordon Millar,262r.mid
263,Conisborough,,,LFTBs,Wilfred Sanderson,263r.mid
269,Elaine,11.10.11.10. Dactylic,,LFTBs,E.J. Judd,269r.mid
270,Framlingham,11.10.11.10. Dactylic,,LFTBs,Miss Grace D. Wightman,270r.mid
275,Drumbathie,11.10.11.10.9.11.,,LFTBs,Gordon Millar,275r.mid
276,Dawning,11.11.11.11.,,LFTBs,John F. Harvey,276r.mid
277,Hiding in Thee,11.11.11.11.,,LFTBs,Ira D. Sankey,277r.mid
278,Anticipation,11.11.11.11. Trochaic,,LFTBs,D.A.J. Burling,278r.mid
281,Rachie,11.11.11.11. Trochaic,,LFTBs,Dr. Caradog Roberts,281r.mid
282,Salva Festa Dies,11.11.11.11. Trochaic,,LFTBs,Sir Joseph Barnby,282r.mid
297,Star of Bethlehem,14.14.14.14.,,LFTBs,Miss E.C. Shanks,297r.mid
1,All Hail!,C.M.,,LFTBs,Mrs. J.H. Cuckney,1r.mid
2,Ardingley,C.M.,,LFTBs,M. Colley,2r.mid
3,Aser,C.M.,,LFTBs,A. Johannson,3r.mid
4,Auckland (Rest),C.M.,,LFTBs,Bishop Handley Moule,4r.mid
5,Belgrave,C.M.,,LFTBs,William Horsley,5r.mid
6,Bishopthorpe,C.M.,,LFTBs,Jeremiah Clark,6r.mid
11,Ephesus,C.M.,,LFTBs,Unknown,11r.mid
19,St. Alban,C.M.,,LFTBs,Unknown,19r.mid
20,Supreme,C.M.,,LFTBs,Miss F.R. Jones,20r.mid
21,Bodewan,C.M.D.,,LFTBs,A.G. Bagnall,21r.mid
24,Flowing Stream,C.M.D.,,LFTBs,Unknown,24r.mid
25,I Came a Wanderer,C.M.D.,,LFTBs,Ira D. Sankey,25r.mid
26,Arizona,L.M.,,LFTBs,Dr. R.H. Earnshaw,26r.mid
27,Bangor,L.M.,,LFTBs,R.E. Frizelle,27r.mid
29,Chasid,L.M.,,LFTBs,E. Carren,29r.mid
28,Beth-Aven,L.M.,,LFTBs,Miss E.C. Shanks,28r.mid
34,Harbour Head,L.M.,,LFTBs,Simon Flett,34r.mid
35,Lasus,L.M.,,LFTBs,Dr. A.H. Mann,35r.mid
36,Llef,L.M.,,LFTBs,Griffiths H. Jones,36r.mid
37,Meira,L.M.,,LFTBs,Miss A.H. Lee,37r.mid,
38,Retreat,L.M.,,LFTBs,Dr. Thomas Hastings,38r.mid,
39,Silver Hill,L.M.,,LFTBs,F.C. Maker,39r.mid,"Copyright.  By permission of Geo. Taylor, The Cross Printing Works, Stainland"
40,Trenwood,L.M.,,LFTBs,D.J. Sims,40r.mid,
47,Patience,S.M.,,LFTBs,Miss F.R. Jones,47r.mid,
