"verse_pk"|"hymn_no"|"hymn_verse"|"hymn_line"|"line_text"|"edited"|"editdate"|"ref_bk_1"|"ref_ch_1"|"ref_vs_1"|"ref_bk_2"|"ref_ch_2"|"ref_vs_2"
"1"|"1"|"1"|"1"|"Of all the gifts Thy love bestows,"|"1"|"2011-10-01 21:26:27"|"45"|"5"|"15-17"|"59"|"1"|"5"
"2"|"1"|"1"|"2"|"Thou Giver of all good!"|"1"|"2011-10-01 21:26:27"|"47"|"9"|"15"|"43"|"4"|"10"
"3"|"1"|"1"|"3"|"E'en heav'n itself no richer knows"|"1"|"2011-10-01 21:28:38"|"49"|"3"|"8"|"58"|"13"|"12"
"4"|"1"|"1"|"4"|"Than the Redeemer's blood."|"1"|"2011-10-01 21:26:27"|"45"|"5"|"9"|"49"|"1"|"7"
"5"|"1"|"2"|"1"|"Faith, too, that trusts the blood through grace,"|"1"|"2011-10-01 21:26:27"|"45"|"3"|"25"|"49"|"2"|"8"
"6"|"1"|"2"|"2"|"From that same love we gain;"|"1"|"2011-10-01 21:26:27"|"43"|"17"|"23"|"49"|"2"|"4"
"7"|"1"|"2"|"3"|"Else, sweetly as it suits our case,"|"1"|"2011-10-01 21:26:27"|"19"|"19"|"10"|"48"|"3"|"22"
"8"|"1"|"2"|"4"|"The gift had been in vain."|"1"|"2011-10-01 21:26:27"|"46"|"15"|"10,11"|"58"|"11"|"6"
"9"|"1"|"3"|"1"|"We praise Thee, and would praise Thee more;"|"1"|"2011-10-01 21:26:27"|"45"|"15"|"10,11"|"19"|"150"|"6"
"10"|"1"|"3"|"2"|"To Thee our all we owe;"|"1"|"2011-10-01 21:26:27"|"45"|"4"|"5"|"45"|"8"|"12,13"
"11"|"1"|"3"|"3"|"The precious Saviour, and the power"|"1"|"2011-10-01 21:26:27"|"60"|"1"|"19"|"58"|"11"|"2"
"12"|"1"|"3"|"4"|"That makes Him precious too."|"1"|"2011-10-01 21:26:27"|"61"|"1"|"1"|"60"|"1"|"7"
"13"|"2"|"1"|"1"|"Father, 'twas Thy love that knew us"|"1"|"2011-12-11 21:58:22"|"43"|"17"|"23"|"53"|"2"|"16"
"14"|"2"|"1"|"2"|"Earth's foundation long before;"|"1"|"2011-12-11 21:58:23"|"49"|"1"|"4"|"19"|"90"|"2"
"15"|"2"|"1"|"3"|"That same love to Jesus drew us"|"1"|"2011-12-11 21:58:23"|"43"|"6"|"44"|"46"|"12"|"6"
"16"|"2"|"1"|"4"|"By its sweet constraining power,"|"1"|"2011-12-11 21:58:23"|"47"|"5"|"14"|"45"|"8"|"38,39"
"17"|"2"|"1"|"5"|"And hath made us"|"1"|"2011-12-11 21:58:23"|"58"|"2"|"10"|"51"|"1"|"12"
"18"|"2"|"1"|"6"|"Sons before Thee evermore."|"1"|"2011-12-11 21:58:23"|"58"|"2"|"10"|"48"|"3"|"26"
"19"|"2"|"2"|"1"|"Now that changeless love enfolds us,"|"1"|"2011-12-11 21:58:23"|"24"|"31"|"3"|"43"|"16"|"27"
"20"|"2"|"2"|"2"|"All its wealth on us bestows;"|"1"|"2011-12-11 21:58:23"|"19"|"112"|"3"|"47"|"9"|"15"
"21"|"2"|"2"|"3"|"While its power unchanging holds us"|"1"|"2011-12-11 21:58:23"|"53"|"2"|"16"|"60"|"1"|"5"
"22"|"2"|"2"|"4"|"In a holy calm repose."|"1"|"2011-12-11 21:58:23"|"19"|"107"|"29,30"|"43"|"14"|"1"
"23"|"2"|"2"|"5"|"God and Father,"|"1"|"2011-12-11 21:58:23"|"49"|"1"|"3"|"50"|"4"|"20"
"24"|"2"|"2"|"6"|"Unto Thee our worship flows."|"1"|"2011-12-11 21:58:23"|"43"|"4"|"23"|"45"|"15"|"6"
"25"|"3"|"1"|"1"|"As Head, O God, exhalted Thou,"|"1"|"2011-12-11 22:04:04"|"13"|"29"|"11"|"46"|"11"|"3"
"26"|"3"|"1"|"2"|"Riches and glory are of Thee;"|"1"|"2011-12-11 22:04:04"|"13"|"29"|"12"|"44"|"7"|"2"
"27"|"3"|"1"|"3"|"Thou rulest over all in love,"|"1"|"2011-12-11 22:04:04"|"13"|"29"|"12"|"40"|"11"|"25"
"28"|"3"|"1"|"4"|"And in that love Thy sons are free."|"1"|"2011-12-11 22:04:04"|"43"|"8"|"36"|"48"|"5"|"1"
"29"|"3"|"2"|"1"|"Now in Thy hand is power and might,"|"1"|"2011-12-11 22:04:04"|"13"|"29"|"12"|"60"|"1"|"5"
"30"|"3"|"2"|"2"|"Thy Spirit makes all great and strong;"|"1"|"2011-12-11 22:04:04"|"13"|"29"|"12"|"49"|"3"|"16"
"31"|"3"|"2"|"3"|"So we as strengthened thus for Thee,"|"1"|"2011-12-11 22:04:04"|"51"|"1"|"11"|"27"|"10"|"19"
"32"|"3"|"2"|"4"|"Now praise Thy glorious Name in song."|"1"|"2011-12-11 22:04:04"|"13"|"29"|"13"|"44"|"16"|"25"
"33"|"3"|"3"|"1"|"Thy glorious Name! A hush divine"|"1"|"2011-12-11 22:04:04"|"13"|"29"|"13"|"23"|"63"|"14"
"34"|"3"|"3"|"2"|"Falls on our spirits as we sing."|"1"|"2011-12-11 22:04:04"|"46"|"14"|"15"|"40"|"26"|"30"
"35"|"3"|"3"|"3"|"God - Father, Son, and Holy Ghost -"|"1"|"2011-12-11 22:04:04"|"49"|"4"|"4,5"|"41"|"28"|"19"
"36"|"3"|"3"|"4"|"To Thee our worship now we bring."|"1"|"2011-12-11 22:04:04"|"13"|"29"|"10,11"|"50"|"3"|"3"
"37"|"4"|"1"|"1"|"Thine is the love, Lord, that draws us together,"|"1"|"2011-12-11 22:12:41"|"28"|"11"|"4"|"58"|"10"|"25"
"38"|"4"|"1"|"2"|"Guiding our steps from the wilderness ways;"|"1"|"2011-12-11 22:12:41"|"22"|"8"|"5"|"22"|"3"|"6"
"39"|"4"|"1"|"3"|"Soon face to face we'll adore Thee for ever,"|"1"|"2011-12-11 22:12:41"|"62"|"3"|"2"|"46"|"13"|"12"
"40"|"4"|"1"|"4"|"Now our glad hearts would be filled with Thy praise."|"1"|"2011-12-11 22:12:41"|"19"|"71"|"8"|"43"|"20"|"20"
"41"|"4"|"2"|"1"|"While for this moment, O Lord, we have waited,"|"1"|"2011-12-11 22:12:41"|"42"|"22"|"14"|"61"|"3"|"14"
"42"|"4"|"2"|"2"|"Oft has the Comforter spoken of Thee;"|"1"|"2011-12-11 22:12:41"|"43"|"15"|"26"|"62"|"2"|"20"
"43"|"4"|"2"|"3"|"Now with love's treasure our spirits are freighted,"|"1"|"2011-12-11 22:12:41"|"43"|"12"|"3"|"13"|"29"|"9"
"44"|"4"|"2"|"4"|"Bowed at Thy feet, and the fragrance set free."|"1"|"2011-12-11 22:12:41"|"43"|"12"|"3"|"1"|"8"|"21"
"45"|"4"|"3"|"1"|"For us, Lord Jesus, Thyself Thou hast given;"|"1"|"2011-12-11 22:12:41"|"43"|"3"|"16"|"49"|"5"|"2"
"46"|"4"|"3"|"2"|"Suff'rings unfathomed for us hast Thou known;"|"1"|"2011-12-11 22:12:41"|"44"|"24"|"26"|"60"|"2"|"21"
"47"|"4"|"3"|"3"|"Now, in accord with the homage of heaven,"|"1"|"2011-12-11 22:12:41"|"42"|"2"|"13"|"66"|"5"|"8"
"48"|"4"|"3"|"4"|"Rises a song from the hearts of Thine own."|"1"|"2011-12-11 22:12:41"|"49"|"5"|"19"|"51"|"3"|"16"
"49"|"5"|"1"|"1"|"21"|"1"|"2011-12-11 22:32:43"|"49"|"1"|"6"|"49"|"1"|"17"
"50"|"5"|"1"|"2"|"As in the light of heav'n's unclouded rays"|"1"|"2011-12-11 22:32:43"|"18"|"37"|"11"|"19"|"19"|"1"
"51"|"5"|"1"|"3"|"We lift our song."|"1"|"2011-12-11 22:32:43"|"19"|"40"|"3"|"66"|"5"|"9"
"52"|"5"|"1"|"4"|"The glory of a past eternal plan,"|"1"|"2011-12-11 22:32:43"|"51"|"1"|"26"|"49"|"1"|"9"
"53"|"5"|"1"|"5"|"The glory of a love ere time began,"|"1"|"2011-12-11 22:32:43"|"55"|"1"|"9"|"43"|"17"|"24"
"54"|"5"|"1"|"6"|"To Thee belong."|"1"|"2011-12-11 22:32:43"|"56"|"1"|"2"|"23"|"42"|"8"
"55"|"5"|"2"|"1"|"We glory in the thought that Thou was there"|"1"|"2011-12-11 22:32:43"|"19"|"90"|"2"|"1"|"1"|"1"
"56"|"5"|"2"|"2"|"Before there was a creature formed to share"|"1"|"2011-12-11 22:32:43"|"18"|"38"|"4"|"19"|"90"|"2"
"57"|"5"|"2"|"3"|"Thy heart of love;"|"1"|"2011-12-11 22:32:43"|"62"|"4"|"7,8"|"43"|"3"|"16"
"58"|"5"|"2"|"4"|"And worship at the mighty, sovereign thought, "|"1"|"2011-12-11 22:32:43"|"49"|"1"|"19"|"59"|"1"|"18"
"59"|"5"|"2"|"5"|"That we as sons should with Thy Son be brought"|"1"|"2011-12-11 22:32:43"|"58"|"2"|"10"|"48"|"4"|"5,6"
"60"|"5"|"2"|"6"|"To realms above."|"1"|"2011-12-11 22:32:43"|"58"|"2"|"10"|"48"|"4"|"26"
"61"|"5"|"3"|"1"|"To fill Thy heart this counsel was conceived;"|"1"|"2011-12-11 22:32:43"|"49"|"1"|"11,12"|"55"|"1"|"9"
"62"|"5"|"3"|"2"|"By Him the working out was all achieved,"|"1"|"2011-12-11 22:32:43"|"43"|"19"|"30"|"55"|"1"|"10"
"63"|"5"|"3"|"3"|"Through pathways sore."|"1"|"2011-12-11 22:32:43"|"44"|"1"|"3"|"60"|"4"|"1"
"64"|"5"|"3"|"4"|"What part have we as brought into this place,"|"1"|"2011-12-11 22:32:43"|"58"|"2"|"10"|"55"|"1"|"9"
"65"|"5"|"3"|"5"|"Encompassed by illimitable grace,"|"1"|"2011-12-11 22:32:43"|"49"|"1"|"6,7"|"58"|"12"|"28"
"66"|"5"|"3"|"6"|"But to adore?"|"1"|"2011-12-11 22:32:43"|"58"|"13"|"15"|"58"|"13"|"15"
"67"|"5"|"4"|"1"|"Father, we worship Thee as we discern"|"1"|"2011-12-11 22:32:43"|"43"|"4"|"23"|"50"|"3"|"3"
"68"|"5"|"4"|"2"|"That thou hast been enriched though love's return"|"1"|"2011-12-11 22:32:43"|"43"|"17"|"6"|"23"|"43"|"21"
"69"|"5"|"4"|"3"|"To all Thy will;"|"1"|"2011-12-11 22:32:43"|"49"|"1"|"11"|"23"|"43"|"13"
"70"|"5"|"4"|"4"|"For, added to the riches that were then,"|"1"|"2011-12-11 22:32:43"|"19"|"104"|"24"|"47"|"8"|"9"
"71"|"5"|"4"|"5"|"Thou hast secured vast myriads of men"|"1"|"2011-12-11 22:34:09"|"66"|"21"|"3"|"45"|"8"|"29"
"72"|"5"|"4"|"6"|"Thy house to fill."|"1"|"2011-12-11 22:32:43"|"42"|"14"|"23"|"58"|"3"|"6"
"73"|"6"|"1"|"1"|"Jesus! how much Thy Name unfolds"|"1"|"2011-12-11 22:41:34"|"22"|"1"|"3"|"19"|"45"|"17"
"74"|"6"|"1"|"2"|"To every opened ear!"|"1"|"2011-12-11 22:41:34"|"44"|"8"|"35,36"|"66"|"3"|"22"
"75"|"6"|"1"|"3"|"The pardoned sinner's memory holds"|"1"|"2011-12-11 22:41:34"|"23"|"55"|"7"|"60"|"2"|"24"
"76"|"6"|"1"|"4"|"No other name so dear."|"1"|"2011-12-11 22:41:34"|"44"|"4"|"12"|"23"|"9"|"6"
"77"|"6"|"2"|"1"|"That Name encircles every grace"|"1"|"2011-12-11 22:41:34"|"43"|"1"|"16"|"50"|"2"|"10"
"78"|"6"|"2"|"2"|"That God as Man could show;"|"1"|"2011-12-11 22:41:34"|"44"|"3"|"21,22"|"47"|"8"|"9"
"79"|"6"|"2"|"3"|"Thus only could we fully trace"|"1"|"2011-12-11 22:42:13"|"43"|"21"|"25"|"40"|"1"|"21"
"80"|"6"|"2"|"4"|"A life divine below."|"1"|"2011-12-11 22:41:34"|"44"|"5"|"20"|"54"|"3"|"16"
"81"|"6"|"3"|"1"|"Jesus - it speaks a life of love,"|"1"|"2011-12-11 22:41:34"|"43"|"15"|"12"|"43"|"14"|"31"
"82"|"6"|"3"|"2"|"Of sorrows meekly borne;"|"1"|"2011-12-11 22:41:34"|"23"|"53"|"3"|"58"|"2"|"18"
"83"|"6"|"3"|"3"|"It tells of sympathy above,"|"1"|"2011-12-11 22:41:34"|"58"|"4"|"15"|"58"|"13"|"8"
"84"|"6"|"3"|"4"|"Whatever makes us mourn."|"1"|"2011-12-11 22:41:34"|"40"|"5"|"4"|"42"|"7"|"13"
"85"|"6"|"4"|"1"|"Jesus, the One who knew not sin,"|"1"|"2011-12-11 22:41:34"|"47"|"5"|"21"|"60"|"2"|"22"
"86"|"6"|"4"|"2"|"Made sin to make us just;"|"1"|"2011-12-11 22:41:34"|"47"|"5"|"21"|"23"|"53"|"10"
"87"|"6"|"4"|"3"|"Thou gav'st Thyself our love to win,"|"1"|"2011-12-11 22:41:34"|"43"|"10"|"15"|"48"|"2"|"20"
"88"|"6"|"4"|"4"|"Our full confiding trust."|"1"|"2011-12-11 22:41:34"|"19"|"2"|"12"|"19"|"34"|"22"
"89"|"6"|"5"|"1"|"The mention of Thy Name doth bow"|"1"|"2011-12-11 22:41:34"|"22"|"8"|"13"|"19"|"33"|"21"
"90"|"6"|"5"|"2"|"Our hearts to worship Thee"|"1"|"2011-12-11 22:41:34"|"43"|"9"|"38"|"19"|"45"|"11"
"91"|"6"|"5"|"3"|"The chiefest of ten thousand Thou,"|"1"|"2011-12-11 22:41:34"|"22"|"5"|"10"|"20"|"45"|"7"
"92"|"6"|"5"|"4"|"Whose love has set us free."|"1"|"2011-12-11 22:41:34"|"43"|"8"|"36"|"45"|"8"|"1"
"93"|"7"|"1"|"1"|"Hark! happy saints! loud lift your voice,"|"1"|"2011-12-10 22:48:43"|"59"|"5"|"13"|"42"|"19"|"37"
"94"|"7"|"1"|"2"|"Tell to the world how we rejoice -"|"1"|"2011-12-10 22:48:43"|"45"|"15"|"10,11"|"51"|"1"|"6"
"95"|"7"|"1"|"3"|"Yon heaven is our home."|"1"|"2011-12-10 22:48:43"|"42"|"10"|"20"|"51"|"1"|"5"
"96"|"7"|"1"|"4"|"There lives our Head with glory crowned;"|"1"|"2011-12-10 22:48:43"|"41"|"16"|"19"|"49"|"1"|"20,22"
"97"|"7"|"1"|"5"|"And we as for His kingdom bound,"|"1"|"2011-12-10 22:48:43"|"61"|"1"|"11"|"66"|"1"|"6"
"98"|"7"|"1"|"6"|"All cry - Lord Jesus, come!"|"1"|"2011-12-10 22:48:43"|"66"|"22"|"17"|"66"|"22"|"20"
"99"|"4"|"4"|"1"|"Jesus, Lord Jesus, we love and adore Thee;"|"1"|"2011-12-11 22:12:41"|"62"|"4"|"19"|"60"|"1"|"8"
"100"|"8"|"1"|"1"|"O God, we acknowledge"|"1"|"2011-12-10 22:52:54"|"19"|"5"|"7"|"16"|"8"|"5"
"101"|"8"|"1"|"2"|"Thy greatness, Thy glory,"|"1"|"2011-12-10 22:52:54"|"13"|"17"|"19,20"|"16"|"8"|"5"
"102"|"8"|"1"|"3"|"For of Thee are all things"|"1"|"2011-12-10 22:52:54"|"66"|"4"|"11"|"46"|"8"|"6"
"103"|"8"|"1"|"4"|"On earth and in heav'n."|"1"|"2011-12-10 22:52:54"|"66"|"4"|"11"|"13"|"29"|"11"
"104"|"8"|"1"|"5"|"How vast is Thy fullness!"|"1"|"2011-12-10 22:52:54"|"46"|"15"|"28"|"49"|"3"|"19"
"105"|"8"|"1"|"6"|"Majestic Thy splendour!"|"1"|"2011-12-10 22:52:54"|"19"|"96"|"6"|"60"|"1"|"16"
"106"|"8"|"1"|"7"|"We bless Thee, we worship;"|"1"|"2011-12-10 22:52:54"|"19"|"145"|"1,2"|"13"|"29"|"20"
"107"|"8"|"1"|"8"|"Amen and Amen!"|"1"|"2011-12-10 22:52:54"|"19"|"89"|"52"|"19"|"72"|"19"
"108"|"4"|"4"|"2"|"Glorious Thy Name, all our praises above;"|"1"|"2011-12-11 22:12:41"|"19"|"72"|"19"|"50"|"2"|"9"
"109"|"4"|"4"|"3"|"Peerless Thy beauty, we wait now before Thee,"|"1"|"2011-12-11 22:12:41"|"23"|"33"|"17"|"22"|"5"|"10"
"110"|"4"|"4"|"4"|"Moved are our hears in response to Thy love."|"1"|"2011-12-11 22:12:41"|"62"|"4"|"19"|"10"|"19"|"14"
"111"|"9"|"1"|"1"|"All hail the power of Jesus' Name!"|"1"|"2011-12-10 22:59:02"|"44"|"2"|"22"|"44"|"3"|"16"
"112"|"9"|"1"|"2"|"Before Him prostrate fall;"|"1"|"2011-12-10 22:59:02"|"19"|"72"|"11"|"66"|"5"|"8"
"113"|"9"|"1"|"3"|"With one accord His praise proclaim,"|"1"|"2011-12-10 22:59:02"|"66"|"5"|"11-14"|"14"|"5"|"13"
"114"|"9"|"1"|"4"|"And crown Him Lord of all."|"1"|"2011-12-10 22:59:02"|"58"|"2"|"7-9"|"44"|"10"|"36"
"115"|"9"|"2"|"1"|"Ye saints redeemed from Adam's race,"|"1"|"2011-12-10 22:59:02"|"60"|"1"|"18"|"42"|"3"|"38"
"116"|"9"|"2"|"2"|"Ye ransomed from the fall,"|"1"|"2011-12-10 22:59:02"|"54"|"2"|"6"|"18"|"33"|"24"
"117"|"9"|"2"|"3"|"Hail Him who saves you by His grace, "|"1"|"2011-12-10 22:59:02"|"49"|"2"|"5-8"|"56"|"2"|"11"
"118"|"9"|"2"|"4"|"And crown Him Lord of all."|"1"|"2011-12-10 22:59:02"|"19"|"8"|"5"|"45"|"14"|"9"
"119"|"9"|"3"|"1"|"Tell forth the only name that's giv'n"|"1"|"2011-12-10 22:59:02"|"44"|"2"|"21"|"46"|"1"|"2"
"120"|"9"|"3"|"2"|"On which we now may call,"|"1"|"2011-12-10 22:59:02"|"44"|"2"|"21"|"46"|"1"|"2"
"121"|"9"|"3"|"3"|"The Name adored by hosts in heav'n,"|"1"|"2011-12-10 22:59:02"|"66"|"5"|"11-14"|"50"|"2"|"10"
"122"|"9"|"3"|"4"|"And crown Him Lord of all."|"1"|"2011-12-10 22:59:02"|"19"|"8"|"5"|"47"|"4"|"5"
"123"|"9"|"4"|"1"|"In glory all the ransomed throng"|"1"|"2011-12-10 22:59:02"|"23"|"35"|"10"|"49"|"5"|"27"
"124"|"9"|"4"|"2"|"Soon at His feet shall fall;"|"1"|"2011-12-10 22:59:02"|"40"|"28"|"9"|"66"|"5"|"8"
"125"|"9"|"4"|"3"|"Join in the blest eternal song,"|"1"|"2011-12-10 22:59:02"|"66"|"5"|"9"|"66"|"1"|"6"
"126"|"9"|"4"|"4"|"And crown Him Lord of all."|"1"|"2011-12-10 22:59:02"|"58"|"2"|"7-9"|"66"|"19"|"16"
"127"|"10"|"1"|"1"|"Our God and Father, may our souls repose"|"1"|"2011-12-10 23:00:54"|"40"|"11"|"29"|"53"|"3"|"13"
"128"|"10"|"1"|"2"|"In the deep sense of Thine unfailing love!"|"1"|"2011-12-10 23:00:54"|"24"|"31"|"3"|"53"|"2"|"16"
"129"|"10"|"1"|"3"|"Kept by Thy peace, in Him who died and rose,"|"1"|"2011-12-10 23:00:54"|"45"|"5"|"9,10"|"50"|"4"|"17"
"130"|"10"|"1"|"4"|"Till we are gathered to Thy rest above."|"1"|"2011-12-10 23:00:54"|"53"|"2"|"1"|"58"|"4"|"10"
"131"|"11"|"1"|"1"|"Thou are the blest incarnate Word, "|"1"|"2011-12-10 23:12:37"|"43"|"1"|"14"|"42"|"2"|"1"
"132"|"11"|"1"|"2"|"2"|"1"|"2011-12-10 23:12:37"|"43"|"1"|"14"|"1"|"22"|"2"
"133"|"11"|"1"|"3"|"God manifest, God seen and heard, "|"1"|"2011-12-10 23:12:37"|"54"|"3"|"16"|"23"|"9"|"7"
"134"|"11"|"1"|"4"|"The heav'n's belov&egrave;d One; "|"1"|"2011-12-10 23:12:37"|"43"|"1"|"18"|"40"|"17"|"5"
"135"|"11"|"1"|"5"|"The Lamb of God, exalted Lord, "|"1"|"2011-12-10 23:12:37"|"43"|"1"|"29"|"66"|"5"|"6"
"136"|"11"|"1"|"6"|"Worthy art Thou to be adored!"|"1"|"2011-12-10 23:12:37"|"66"|"5"|"12,13"|"58"|"3"|"3"
"137"|"11"|"2"|"1"|"In Thee most perfectly expressed "|"1"|"2011-12-10 23:12:37"|"43"|"15"|"15"|"58"|"1"|"3"
"138"|"11"|"2"|"2"|"The Father's self doth shine: "|"1"|"2011-12-10 23:12:37"|"43"|"15"|"15"|"43"|"8"|"19"
"139"|"11"|"2"|"3"|"Thou full of Deity possessed, "|"1"|"2011-12-10 23:12:37"|"43"|"8"|"58"|"43"|"8"|"58"
"140"|"11"|"2"|"4"|"Eternally divine. "|"1"|"2011-12-10 23:12:37"|"45"|"1"|"20"|"43"|"17"|"5"
"141"|"11"|"2"|"5"|"With Thee before the Father's face, "|"1"|"2011-12-10 23:12:37"|"43"|"17"|"21"|"43"|"14"|"2,3"
"142"|"11"|"2"|"6"|"We celebrate His boundless grace."|"1"|"2011-12-10 23:12:37"|"49"|"2"|"6,7"|"56"|"2"|"11"
"143"|"11"|"3"|"1"|"Yet loving Thee, on whom His love "|"1"|"2011-12-10 23:12:37"|"43"|"17"|"22-24"|"43"|"16"|"27"
"144"|"11"|"3"|"2"|"Ineffable doth rest, "|"1"|"2011-12-10 23:12:37"|"43"|"17"|"22-24"|"43"|"3"|"35"
"145"|"11"|"3"|"3"|"Our hearts are led to Him above, "|"1"|"2011-12-10 23:12:37"|"51"|"3"|"1"|"45"|"15"|"6"
"146"|"11"|"3"|"4"|"And we with Thee are blest. "|"1"|"2011-12-10 23:12:37"|"43"|"17"|"21-23"|"43"|"17"|"24"
"147"|"11"|"3"|"5"|"The Father's Name Thou hast declared, "|"1"|"2011-12-10 23:12:37"|"43"|"1"|"18"|"43"|"20"|"17"
"148"|"11"|"3"|"6"|"The Father's love with Thee is shared."|"1"|"2011-12-10 23:12:37"|"43"|"1"|"18"|"53"|"2"|"16"
"149"|"11"|"4"|"1"|"Of the vast universe of bliss "|"1"|"2011-12-10 23:12:37"|"43"|"3"|"16"|"58"|"4"|"14"
"150"|"11"|"4"|"2"|"The centre Thou and Sun; "|"1"|"2011-12-10 23:12:37"|"39"|"4"|"2"|"66"|"22"|"5"
"151"|"11"|"4"|"3"|"Th' eternal theme of praise is this, "|"1"|"2011-12-10 23:12:37"|"49"|"1"|"6"|"43"|"5"|"23"
"152"|"11"|"4"|"4"|"That God's belov&egrave;d Son"|"1"|"2011-12-10 23:12:37"|"40"|"17"|"5"|"61"|"1"|"17"
"153"|"11"|"4"|"5"|"Fills all that scene, where God alone "|"1"|"2011-12-10 23:12:37"|"46"|"15"|"28"|"49"|"1"|"23"
"154"|"11"|"4"|"6"|"In His own rest is fully known."|"1"|"2011-12-10 23:12:37"|"46"|"15"|"28"|"46"|"13"|"12"
"155"|"12"|"1"|"1"|"Sing without ceasing, sing"|"1"|"2011-12-10 23:21:43"|"66"|"5"|"9"|"51"|"3"|"16"
"156"|"12"|"1"|"2"|"The Savious's present grace,"|"1"|"2011-12-10 23:21:43"|"66"|"22"|"21"|"52"|"1"|"12"
"157"|"12"|"1"|"3"|"How all things shine in light divine"|"1"|"2011-12-10 23:21:43"|"47"|"3"|"18"|"49"|"5"|"13"
"158"|"12"|"1"|"4"|"For those who've seen His face."|"1"|"2011-12-10 23:21:43"|"47"|"3"|"18"|"47"|"4"|"18"
"159"|"12"|"2"|"1"|"He's gone within the veil,"|"1"|"2011-12-10 23:21:43"|"58"|"10"|"19,20"|"49"|"4"|"10"
"160"|"12"|"2"|"2"|"For us that place has won;"|"1"|"2011-12-10 23:21:43"|"58"|"10"|"19,20"|"43"|"17"|"24"
"161"|"12"|"2"|"3"|"In Him we stand, a heav'nly band,"|"1"|"2011-12-10 23:21:43"|"46"|"15"|"48,49"|"48"|"3"|"27"
"162"|"12"|"2"|"4"|"Where He Himself is gone."|"1"|"2011-12-10 23:21:43"|"43"|"17"|"11"|"49"|"2"|"6"
"163"|"12"|"3"|"1"|"There all's unsullied light,"|"1"|"2011-12-10 23:21:43"|"66"|"4"|"3"|"49"|"5"|"14"
"164"|"12"|"3"|"2"|"Our hearts let in its rays;"|"1"|"2011-12-10 23:21:43"|"47"|"4"|"4-6"|"49"|"5"|"14"
"165"|"12"|"3"|"3"|"And heav'nly light makes all things bright,"|"1"|"2011-12-10 23:21:43"|"47"|"4"|"4-6"|"49"|"3"|"9"
"166"|"12"|"3"|"4"|"Seen in that blissful gaze."|"1"|"2011-12-10 23:21:43"|"47"|"3"|"18"|"58"|"2"|"9"
"167"|"12"|"4"|"1"|"Such here on earth we are,"|"1"|"2011-12-10 23:21:43"|"46"|"2"|"3"|"58"|"3"|"13"
"168"|"12"|"4"|"2"|"Though we in weakness roam;"|"1"|"2011-12-10 23:21:43"|"46"|"2"|"3"|"47"|"12"|"9"
"169"|"12"|"4"|"3"|"Our place on high, God's self so nigh,"|"1"|"2011-12-10 23:21:43"|"43"|"14"|"2"|"47"|"6"|"18"
"170"|"12"|"4"|"4"|"His presence is our home."|"1"|"2011-12-10 23:21:43"|"43"|"14"|"3"|"47"|"6"|"16"
"171"|"12"|"5"|"1"|"And stayed by joy divine,"|"1"|"2011-12-10 23:21:43"|"43"|"16"|"24"|"50"|"4"|"4"
"172"|"12"|"5"|"2"|"As hireling fills his day,"|"1"|"2011-12-10 23:21:43"|"18"|"7"|"1"|"51"|"3"|"23"
"173"|"12"|"5"|"3"|"Through scenes of strife and desert life"|"1"|"2011-12-10 23:21:43"|"47"|"6"|"4-10"|"50"|"2"|"15"
"174"|"12"|"5"|"4"|"We tread in peace our way."|"1"|"2011-12-10 23:21:43"|"47"|"6"|"4-10"|"51"|"4"|"5"
"175"|"12"|"6"|"1"|"That way is upward still,"|"1"|"2011-12-10 23:21:43"|"51"|"1"|"12,13"|"20"|"15"|"24"
"176"|"12"|"6"|"2"|"Where life and glory are;"|"1"|"2011-12-10 23:21:43"|"51"|"1"|"12,13"|"65"|"1"|"24"
"177"|"12"|"6"|"3"|"Our rest's above, in perfect love"|"1"|"2011-12-10 23:21:43"|"51"|"3"|"1"|"66"|"4"|"1"
"178"|"12"|"6"|"4"|"The glory we shall share."|"1"|"2011-12-10 23:21:43"|"51"|"3"|"2-4"|"43"|"17"|"22"
"179"|"12"|"7"|"1"|"For ever with the Lord,"|"1"|"2011-12-10 23:21:43"|"51"|"3"|"4"|"52"|"4"|"17"
"180"|"12"|"7"|"2"|"For ever like Him then,"|"1"|"2011-12-10 23:21:43"|"62"|"3"|"2,3"|"45"|"8"|"29"
"181"|"12"|"7"|"3"|"We'll see His face in that blest place,"|"1"|"2011-12-10 23:21:43"|"62"|"3"|"2,3"|"46"|"13"|"12"
"182"|"12"|"7"|"4"|"Our Father's house in heav'n."|"1"|"2011-12-10 23:21:43"|"43"|"14"|"2-3"|"50"|"3"|"20"
"183"|"13"|"1"|"1"|"The Father sent the Son"|"1"|"2011-11-29 17:02:51"|"48"|"4"|"4,5"|"62"|"4"|"14"
"184"|"13"|"1"|"2"|"A ruined world to save;"|"1"|"2011-11-29 17:02:51"|"48"|"4"|"4,5"|"62"|"4"|"14"
"185"|"13"|"1"|"3"|"Man meted to the sinless One"|"1"|"2011-11-29 17:02:51"|"44"|"2"|"23,24"|"42"|"23"|"47"
"186"|"13"|"1"|"4"|"The cross - the grave."|"1"|"2011-11-29 17:02:51"|"44"|"2"|"23,24"|"42"|"23"|"53"
"187"|"13"|"1"|"5"|"Blest Substitute from God,"|"1"|"2011-11-29 17:02:51"|"54"|"2"|"5,6"|"60"|"2"|"24"
